"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034050","GO:0034050","host programmed cell death induced by symbiont","137/3294","401/20876",4.50809591714493e-20,2.44214437442576e-18,1.75742105808118e-18,"COR15/ABI1/ATCAL4/AFP1/AZI1/ADC2/RCA/EARLI1/AtHIR2/BBX14/ATCAD5/PGDH/NA/ACX1/ATMAPK3/DALL3/(AT)SRC2/ATLFNR2/ATWRKY33/BETA/NA/AtPRX71/NA/ANAC019/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/JAZ12/ATBI-1/NA/EDF4/NA/ATWRKY40/BLH1/NA/AR781/ACO4/NA/NA/BGLU26/NA/BBX22/ATCPK32/ATCAD8/NA/CYP71B7/AtBRN1/AtPUB23/GT72B1/ATSYP122/NA/CYP71B15/NA/NA/AT-SYR1/ATMYB30/LURP1/NA/NA/NA/NA/ATCAD7/AtPIF4/ARR4/CAD1/AtIQM1/AtSOT1/AAP2/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/NA/ARA8/AtIPCS2/AIF1/ATCNGC4/ABCG29/ATWRKY53/NET1D/ACA11/TGA3/DELTA-OAT/JAZ2/OBP2/AtRLP33/AtRLP19/NA/AtPNC2/NA/LOL1/NA/ATCBL2/RHF1A/ATWRKY54/ATPSK5/RIN4/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/NSL1/DMR6/BIK1/ZFP8/ATSZF2/ATERF11/NA/RIN2/ATNPR3/AOC3/ABCG40/ATL2/SARD1/NA/NA/ABA3/DGD2/ATERF13/NA/NA/PR-5/NA/CRK36/NA/AtRPK1/ATEDS1/TCP5/NA/ANK/NA",137
"GO:0009723","GO:0009723","response to ethylene","125/3294","353/20876",6.91736320174029e-20,3.622392529978e-18,2.60675371181371e-18,"ALDH7B4/ABI1/ACO2/AALP/AFP1/ANAC072/ATEBP/ADC2/HAI1/CIR1/GBF3/ATMYBL2/ABF3/ATSZF1/ANAC019/AtCCA1/AtMYB74/ATMYB75/ATERF-1/CML38/ATGRP-3/ATPRP3/ATNAS1/ATERF6/ATWRKY40/BLH1/NA/AtAUX1/MYB77/LHY/NA/ATERF-2/NA/NA/ATCPK32/NA/LCL5/ATMDAR3/JAZ7/ATM4/ATMYB59/NA/CYP81F2/NA/ATSYP122/CYP71B15/ESE3/LCL1/AT-SYR1/NA/ATMYB30/RGA/ATMYB73/ATMYB94/EPR1/Rap2.6L/ATMYB12/ATLOX4/AtMYB51/NA/AtERF98/CYP71A13/ACS6/NA/NA/ATTRP2/AtIPCS2/ATIRT1/TAT/HSR8/JAZ2/ATMYB3/ATMYB2/NA/NA/AtPNC2/ANAC092/NA/NF-YA4/JAS1/CYP71B22/NA/AZF2/NA/CYP94C1/CYP81D8/ATMYB7/EBF2/NA/PORA/ETR2/ORA59/ATERF-5/ATPRB1/AtCAF1a/MPT2/PBP1/NA/AtMYB32/NA/NA/5PTASE2/ATERF11/TAR2/JAZ5/TBL17/NA/AOC3/RVE1/ATL31/RHA1A/NA/ABCG40/ABA3/AtCAF1b/GES/ATERF13/AtERF73/AGR/NA/AtRPK1/AOX1D/ATERF15/NA/AtVPS15",125
"GO:0006612","GO:0006612","protein targeting to membrane","130/3294","374/20876",7.76362360598669e-20,3.93440409193712e-18,2.83128412659752e-18,"COR15/ABI1/ATCAL4/AFP1/AZI1/ADC2/RCA/EARLI1/AtHIR2/BBX14/ATCAD5/PGDH/NA/ACX1/CAO/ATMAPK3/DALL3/(AT)SRC2/ATLFNR2/ATWRKY33/BETA/NA/AtPRX71/NA/ANAC019/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/JAZ12/ATBI-1/NA/EDF4/NA/ATWRKY40/BLH1/NA/AR781/ACO4/NA/NA/BGLU26/NA/BBX22/ATCPK32/NA/CYP71B7/AtPUB23/GT72B1/ATSYP122/NA/CYP71B15/NA/NA/AT-SYR1/LURP1/NA/NA/NA/NA/AtPIF4/ARR4/CAD1/AtIQM1/AtSOT1/AAP2/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/NA/ARA8/AtIPCS2/AIF1/ATHSRP54A/ABCG29/ATWRKY53/NET1D/ACA11/TGA3/JAZ2/OBP2/AtRLP33/AtRLP19/NA/AtPNC2/NA/NA/ATCBL2/RHF1A/ATWRKY54/ATPSK5/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/NSL1/DMR6/BIK1/ZFP8/ATSZF2/ATERF11/NA/ATNPR3/AOC3/ABCG40/ATL2/SARD1/NA/NA/ABA3/DGD2/ATERF13/NA/NA/PR-5/NA/CRK36/NA/AtRPK1/ATEDS1/TCP5/NA/ANK/NA",130
"GO:0072657","GO:0072657","protein localization to membrane","130/3294","377/20876",1.68723604410755e-19,8.03226613725139e-18,5.78019620852155e-18,"COR15/ABI1/ATCAL4/AFP1/AZI1/ADC2/RCA/EARLI1/AtHIR2/BBX14/ATCAD5/PGDH/NA/ACX1/CAO/ATMAPK3/DALL3/(AT)SRC2/ATLFNR2/ATWRKY33/BETA/NA/AtPRX71/NA/ANAC019/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/JAZ12/ATBI-1/NA/EDF4/NA/ATWRKY40/BLH1/NA/AR781/ACO4/NA/NA/BGLU26/NA/BBX22/ATCPK32/NA/CYP71B7/AtPUB23/GT72B1/ATSYP122/NA/CYP71B15/NA/NA/AT-SYR1/LURP1/NA/NA/NA/NA/AtPIF4/ARR4/CAD1/AtIQM1/AtSOT1/AAP2/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/NA/ARA8/AtIPCS2/AIF1/ATHSRP54A/ABCG29/ATWRKY53/NET1D/ACA11/TGA3/JAZ2/OBP2/AtRLP33/AtRLP19/NA/AtPNC2/NA/NA/ATCBL2/RHF1A/ATWRKY54/ATPSK5/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/NSL1/DMR6/BIK1/ZFP8/ATSZF2/ATERF11/NA/ATNPR3/AOC3/ABCG40/ATL2/SARD1/NA/NA/ABA3/DGD2/ATERF13/NA/NA/PR-5/NA/CRK36/NA/AtRPK1/ATEDS1/TCP5/NA/ANK/NA",130
"GO:0090150","GO:0090150","establishment of protein localization to membrane","130/3294","377/20876",1.68723604410755e-19,8.03226613725139e-18,5.78019620852155e-18,"COR15/ABI1/ATCAL4/AFP1/AZI1/ADC2/RCA/EARLI1/AtHIR2/BBX14/ATCAD5/PGDH/NA/ACX1/CAO/ATMAPK3/DALL3/(AT)SRC2/ATLFNR2/ATWRKY33/BETA/NA/AtPRX71/NA/ANAC019/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/JAZ12/ATBI-1/NA/EDF4/NA/ATWRKY40/BLH1/NA/AR781/ACO4/NA/NA/BGLU26/NA/BBX22/ATCPK32/NA/CYP71B7/AtPUB23/GT72B1/ATSYP122/NA/CYP71B15/NA/NA/AT-SYR1/LURP1/NA/NA/NA/NA/AtPIF4/ARR4/CAD1/AtIQM1/AtSOT1/AAP2/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/NA/ARA8/AtIPCS2/AIF1/ATHSRP54A/ABCG29/ATWRKY53/NET1D/ACA11/TGA3/JAZ2/OBP2/AtRLP33/AtRLP19/NA/AtPNC2/NA/NA/ATCBL2/RHF1A/ATWRKY54/ATPSK5/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/NSL1/DMR6/BIK1/ZFP8/ATSZF2/ATERF11/NA/ATNPR3/AOC3/ABCG40/ATL2/SARD1/NA/NA/ABA3/DGD2/ATERF13/NA/NA/PR-5/NA/CRK36/NA/AtRPK1/ATEDS1/TCP5/NA/ANK/NA",130
"GO:0035690","GO:0035690","cellular response to drug","133/3294","390/20876",1.90781239918408e-19,8.81521552681821e-18,6.34362389078546e-18,"COR15/ABI1/ACO2/NA/AFP1/AZI1/ADC2/RCA/AtSWEET15/EARLI1/BBX14/DIR1/AHB1/ASUS1/ACX1/NA/ABF3/ATMAPK3/DALL3/FTM1/ATLFNR2/ATWRKY33/BETA/LBD41/AtPRX71/NA/ANAC019/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/ATBI-1/ATNAS1/ATWRKY40/BLH1/AR781/ACO4/NA/NA/NA/BGLU26/NA/BBX22/NA/ATCPK32/NA/ATCRY1/AtBRN1/AtPUB23/UGT74E2/ACO1/NA/ATSYP122/NA/CYP71B15/AtPDC1/ATSUS4/NA/NA/AT-SYR1/RGA/LURP1/MBS1/NA/NA/AtPIF4/CAD1/AtIQM1/AtSOT1/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/SIB1/ARA8/ARCK1/AIF1/NA/ATIRT1/ATWRKY53/TGA3/JAZ2/OBP2/AtRLP33/AtRLP19/NA/AtPNC2/GGT1/ATCBL2/RHF1A/ATWRKY54/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/LYK4/NSL1/DMR6/BIK1/ZFP8/ATSZF2/ATERF11/ATGSTF14/ATNPR3/AOC3/ABCG40/ATL2/SARD1/NA/NA/ABA3/DGD2/ALD1/ATERF13/PR-5/NA/NA/CRK36/NA/NA/AtRPK1/ATEDS1/NA/TCP5/AtVPS15/NA/ANK/NA",133
"GO:0043067","GO:0043067","regulation of programmed cell death","134/3294","396/20876",2.98884903877399e-19,1.34156623997541e-17,9.65420712073162e-18,"COR15/ABI1/ATCAL4/AFP1/AZI1/ADC2/RCA/EARLI1/AtHIR2/BBX14/ATCAD5/PGDH/NA/ACX1/BRG2/ATMAPK3/DALL3/(AT)SRC2/ATLFNR2/ATWRKY33/BETA/NA/AtPRX71/NA/ANAC019/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/JAZ12/ATBI-1/NA/EDF4/NA/ATWRKY40/BLH1/NA/AR781/ACO4/NA/NA/BGLU26/NA/BBX22/ATCPK32/NA/CYP71B7/AtPUB23/GT72B1/ATSYP122/NA/CYP71B15/ATRBOHD/NA/NA/AT-SYR1/LURP1/NA/NA/NA/NA/AtPIF4/ARR4/CAD1/AtIQM1/AtSOT1/AAP2/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/NA/ARA8/AtIPCS2/AIF1/BRG3/ABCG29/ATWRKY53/NET1D/ACA11/TGA3/JAZ2/OBP2/AtRLP33/AtRLP19/NA/AtPNC2/NA/LOL1/NA/ATCBL2/RHF1A/ATWRKY54/ATPSK5/RIN4/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/NSL1/DMR6/BIK1/ZFP8/ATSZF2/ATERF11/NA/RIN2/ATNPR3/AOC3/ABCG40/ATL2/SARD1/NA/NA/ABA3/DGD2/ATERF13/NA/NA/PR-5/NA/CRK36/NA/AtRPK1/ATEDS1/TCP5/NA/ANK/NA",134
"GO:0071215","GO:0071215","cellular response to abscisic acid stimulus","101/3294","263/20876",3.71641498313014e-19,1.57796971310742e-17,1.13554187535754e-17,"NA/AHG3/ABI1/ATHB-7/AFP3/ABF2/AFP1/PYL4/ANAC072/ADC2/HAI1/AtSWEET15/ATPLDDELTA/ATBT2/LTI65/GBF3/ABI2/ABF3/ATMAPK3/PYR1/PYL5/AtbZIP63/NA/ANAC019/SNRK2-2/AtMYB74/PYL8/ATERF-1/AIP1/ABF1/CML38/ATBI-1/ATWRKY40/RACK1C/CIPK3/NA/NA/RACK1B/ATCPK32/NF-YA5/ATMDAR3/JAZ7/UGT74E2/ATM4/ANAC002/ATSYP122/ABI5/AT-SYR1/ABF4/EDL3/ATOST1/PLD/ATEXO70B1/AtNUDT7/ATBG1/CuAO1/AIRP1/AIP2/TAT/RHA2A/HSR8/JAZ2/ATMYB2/PYL1/ATCDPK2/AtPNC2/ANAC092/NA/JAS1/NA/AZF2/CYP94C1/AFP2/NA/PYL2/PBP1/NA/ATPLC/NA/NA/GATL10/5PTASE2/ATERF11/JAZ5/TBL17/AOC3/ATL31/NF-YC4/ABCG40/ABA3/ATERF#011/AtCAF1b/GES/DGD2/ATERF13/CRK36/AtRPK1/AOX1D/ARAC8/ATDOG1/ABR1",101
"GO:0097306","GO:0097306","cellular response to alcohol","101/3294","263/20876",3.71641498313014e-19,1.57796971310742e-17,1.13554187535754e-17,"NA/AHG3/ABI1/ATHB-7/AFP3/ABF2/AFP1/PYL4/ANAC072/ADC2/HAI1/AtSWEET15/ATPLDDELTA/ATBT2/LTI65/GBF3/ABI2/ABF3/ATMAPK3/PYR1/PYL5/AtbZIP63/NA/ANAC019/SNRK2-2/AtMYB74/PYL8/ATERF-1/AIP1/ABF1/CML38/ATBI-1/ATWRKY40/RACK1C/CIPK3/NA/NA/RACK1B/ATCPK32/NF-YA5/ATMDAR3/JAZ7/UGT74E2/ATM4/ANAC002/ATSYP122/ABI5/AT-SYR1/ABF4/EDL3/ATOST1/PLD/ATEXO70B1/AtNUDT7/ATBG1/CuAO1/AIRP1/AIP2/TAT/RHA2A/HSR8/JAZ2/ATMYB2/PYL1/ATCDPK2/AtPNC2/ANAC092/NA/JAS1/NA/AZF2/CYP94C1/AFP2/NA/PYL2/PBP1/NA/ATPLC/NA/NA/GATL10/5PTASE2/ATERF11/JAZ5/TBL17/AOC3/ATL31/NF-YC4/ABCG40/ABA3/ATERF#011/AtCAF1b/GES/DGD2/ATERF13/CRK36/AtRPK1/AOX1D/ARAC8/ATDOG1/ABR1",101
"GO:0080135","GO:0080135","regulation of cellular response to stress","131/3294","385/20876",4.44373602517901e-19,1.83713402514637e-17,1.32204224128594e-17,"COR15/ABI1/ATCAL4/AFP1/AZI1/ADC2/RCA/EARLI1/AtHIR2/BBX14/ATCAD5/PGDH/NA/ACX1/ATMAPK3/DALL3/(AT)SRC2/ATLFNR2/ATWRKY33/BETA/NA/AtPRX71/NA/ANAC019/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/JAZ12/ATBI-1/NA/EDF4/NA/ATWRKY40/BLH1/NA/AR781/ACO4/NA/NA/BGLU26/NA/BBX22/ATCPK32/NA/CYP71B7/AtPUB23/GT72B1/ATSYP122/NA/CYP71B15/NA/NA/AT-SYR1/LURP1/NA/NA/NA/NA/AtPIF4/ARR4/CAD1/AtIQM1/AtSOT1/AAP2/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/NA/ARA8/AtIPCS2/AIF1/ABCG29/ATWRKY53/NET1D/ACA11/TGA3/JAZ2/OBP2/AtRLP33/AtRLP19/NA/AtPNC2/NA/LOL1/NA/ATCBL2/RHF1A/ATWRKY54/ATPSK5/RIN4/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/NSL1/DMR6/BIK1/ZFP8/ATSZF2/ATERF11/NA/RIN2/ATNPR3/AOC3/ABCG40/ATL2/SARD1/NA/NA/ABA3/DGD2/ATERF13/NA/NA/PR-5/NA/CRK36/NA/AtRPK1/ATEDS1/TCP5/NA/ANK/NA",131
"GO:0010941","GO:0010941","regulation of cell death","135/3294","404/20876",7.50479507686622e-19,3.01212378878855e-17,2.1675908400006e-17,"COR15/ABI1/ATCAL4/AFP1/AZI1/ADC2/RCA/EARLI1/AtHIR2/BBX14/ATCAD5/PGDH/NA/ACX1/BRG2/ATMAPK3/DALL3/(AT)SRC2/ATLFNR2/ATWRKY33/BETA/NA/AtPRX71/NA/ANAC019/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/JAZ12/ATBI-1/NA/EDF4/NA/ATWRKY40/BLH1/NA/AR781/ACO4/NA/NA/BGLU26/NA/BBX22/ATCPK32/NA/CYP71B7/AtPUB23/GT72B1/ATSYP122/NA/CYP71B15/ATRBOHD/NA/NA/AT-SYR1/LURP1/NA/NA/NA/NA/AtPIF4/ARR4/CAD1/AtIQM1/AtSOT1/AAP2/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/NA/ARA8/AtIPCS2/AIF1/BRG3/ABCG29/ATWRKY53/NET1D/ACA11/TGA3/JAZ2/OBP2/AtRLP33/AtRLP19/NA/AtPNC2/NA/LOL1/NA/ATCBL2/RHF1A/ATWRKY54/ATPSK5/RIN4/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/NSL1/DMR6/BIK1/ZFP8/ATSZF2/ATERF11/NA/RIN2/ATNPR3/AOC3/ABCG40/ATL2/SARD1/NA/NA/ABA3/ATERF#011/DGD2/ATERF13/NA/NA/PR-5/NA/CRK36/NA/AtRPK1/ATEDS1/TCP5/NA/ANK/NA",135
"GO:0044550","GO:0044550","secondary metabolite biosynthetic process","114/3294","317/20876",7.66931582123118e-19,3.01212378878855e-17,2.1675908400006e-17,"NA/FMO/AtENODL2/CORI3/NA/ACO2/ATGGH2/XTH7/KCS2/NA/AtFBA1/PIF5/ATMYBL2/AtNPF2.13/ATIMD1/BCAT4/ATCAD5/ATCAD9/NA/ECT8/ATCHS/AtCRL1/ARATH;BSAS3;1/IMS3/ANS/ATPTPKIS1/NA/MAT4/ATMAPK3/APS1/ATPGMP/CYP83A1/ATLFNR2/ATWRKY33/AIR3/NA/NA/CPH/ATIPS1/ATGRXCP/FMO/IPMI1/IMS2/NA/SIR/NA/ATLEUD1/NA/ATCB5-C/ATGRP-3/NA/NA/MEX1/GAPC-2/AtNPF6.3/BUS1/ATSOT18/BGLU26/ATCAD4/UMAMIT12/ADT5/ATCAD8/AHA3/ATCAD1/ATSFR2/CH-42/ATPAL1/NA/GT72B1/AtHBP1/NA/CYP79B3/CYP81F2/CYP71B15/UGT74B1/GH3.5/ASFT/BASS5/ATPHO1/ATCAD7/AtBE2/CYP79F2/AtMYB51/SDP6/CYP71A13/NA/PRX72/ATSOT17/ARA8/FMO/NA/NA/ABCG29/NA/OBP2/ATMYB3/ATR4/PYL1/AtTT8/AKN2/ATGSTF11/ATLDA/ATCCR2/NA/UCC2/BGLU46/AtMYB28/ATMYB29/4CL2/FACT/ATGPAT5/NA/FAR5/ATCAD6",114
"GO:0012501","GO:0012501","programmed cell death","145/3294","448/20876",9.87669015544522e-19,3.7844585937084e-17,2.7233800325926e-17,"COR15/ABI1/ATCAL4/AFP1/AZI1/ADC2/RCA/ATPLDDELTA/EARLI1/AtHIR2/cdf3/BBX14/ATCAD5/PGDH/NA/ACX1/BRG2/ATMAPK3/DALL3/(AT)SRC2/ATLFNR2/ATWRKY33/BETA/NA/AtPRX71/NA/ANAC019/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/JAZ12/ATBI-1/NA/EDF4/NA/ATWRKY40/BLH1/NA/AR781/ACO4/NA/NA/BGLU26/NA/BBX22/ATCPK32/ATCAD8/NA/ATCRY1/CYP71B7/AtBRN1/AtPUB23/GT72B1/ATHXK2/ATSYP122/NA/CYP71B15/ATRBOHD/NA/NA/AT-SYR1/ATMYB30/LURP1/NA/NA/NA/NA/ATCAD7/AtPIF4/ARR4/CAD1/AtIQM1/AtSOT1/AAP2/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/NA/ARA8/AtIPCS2/AIF1/ATCNGC4/BRG3/ABCG29/ATWRKY53/NET1D/ACA11/TGA3/DELTA-OAT/JAZ2/OBP2/AtRLP33/AtRLP19/NA/AtPNC2/NA/LOL1/NA/ATCBL2/RHF1A/ATWRKY54/ATPSK5/RIN4/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/NSL1/DMR6/BIK1/ZFP8/ATSZF2/ATERF11/CRK9/NA/RIN2/ATNPR3/AOC3/ABCG40/ATL2/SARD1/NA/NA/ABA3/DGD2/ATERF13/NA/NA/PR-5/NA/CRK36/NA/AtRPK1/ATEDS1/TCP5/NA/ANK/NA",145
"GO:0009267","GO:0009267","cellular response to starvation","108/3294","294/20876",1.05606191366921e-18,3.95017444374842e-17,2.84263282025247e-17,"RD2/UBC32/ATACP5/PIP1;4/ASN1/NA/NA/CAT2/NA/ATMGL/NA/DALL3/SUE4/AtPIP2;1/NA/AtGDPD2/AtNPF7.3/NF-YA7/ATCAT3/ATPRP3/NA/PIP2;5/NA/ATRNS1/HIPP22/NA/ATATG8E/NA/CYP76C2/RHS13/NA/MAP18/NF-YA5/NA/ATFLS5/ACO5/NA/CAT1/HRS1/NA/NA/NA/NA/NA/ATPT1/ATPPC3/NA/AGP22/AT4/ATIPS2/ATPHO1/ATSERAT2;1/SEL1/AtPPsPase1/MLP329/AtZIP2/APS3/NA/SIB1/LPR1/ALN/NA/ATWRKY65/ATIRT1/ANAC013/NA/NA/NA/MAN1/ATMYB2/NA/CRK10/ATSBT4.12/ATMSRB3/IAA26/NA/ATSPX4/PIP2;4/PYE/BTS/BCE2/ATIPS1/AtMYB28/ATTIP2;3/ATATG18H/ATWRKY9/ATMYB29/NA/NA/NA/NA/BAT1/ZIP3/TRI/PDLZ2/NA/NA/DGD2/NA/NA/AtNIP5;1/NA/STOP2/WDL3/CRK36/AKT1/CYP705A8/CYP87A2",108
"GO:0009862","GO:0009862","systemic acquired resistance, salicylic acid mediated signaling pathway","97/3294","251/20876",1.13359731636694e-18,4.14158461398249e-17,2.98037580851432e-17,"COR15/ABI1/NA/RCA/BBX14/DIR1/AHB1/ASUS1/NA/ATMAPK3/FTM1/ATLFNR2/ATWRKY33/BETA/LBD41/NA/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/ATBI-1/ATWRKY40/BLH1/ACO4/NA/BGLU26/NA/BBX22/NA/ATCPK32/AtPUB23/ATSYP122/NA/CYP71B15/AtPDC1/ATSUS4/NA/NA/AT-SYR1/LURP1/NA/AtPIF4/CAD1/AtIQM1/AtSOT1/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/SIB1/ARA8/ARCK1/AIF1/NA/ATWRKY53/TGA3/OBP2/AtRLP33/AtRLP19/NA/GGT1/ATCBL2/RHF1A/ATWRKY54/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/NSL1/DMR6/ZFP8/ATERF11/ATGSTF14/ATNPR3/ABCG40/ATL2/SARD1/NA/ABA3/DGD2/ALD1/PR-5/NA/NA/CRK36/NA/AtRPK1/ATEDS1/TCP5/NA/ANK/NA",97
"GO:0009738","GO:0009738","abscisic acid-activated signaling pathway","96/3294","248/20876",1.49632483469327e-18,5.34255980750712e-17,3.84462409679564e-17,"NA/AHG3/ABI1/ATHB-7/AFP3/ABF2/AFP1/PYL4/ANAC072/ADC2/HAI1/ATPLDDELTA/ATBT2/LTI65/GBF3/ABI2/ABF3/ATMAPK3/PYR1/PYL5/NA/ANAC019/SNRK2-2/AtMYB74/PYL8/ATERF-1/AIP1/ABF1/CML38/ATBI-1/ATWRKY40/CIPK3/NA/NA/ATCPK32/NF-YA5/ATMDAR3/JAZ7/ATM4/ANAC002/ATSYP122/ABI5/AT-SYR1/ABF4/EDL3/ATOST1/PLD/ATEXO70B1/AtNUDT7/ATBG1/CuAO1/AIRP1/AIP2/TAT/RHA2A/HSR8/JAZ2/ATMYB2/PYL1/ATCDPK2/AtPNC2/ANAC092/NA/JAS1/NA/AZF2/CYP94C1/AFP2/NA/PYL2/PBP1/NA/ATPLC/NA/NA/GATL10/5PTASE2/ATERF11/JAZ5/TBL17/AOC3/ATL31/NF-YC4/ABCG40/ABA3/ATERF#011/AtCAF1b/GES/DGD2/ATERF13/CRK36/AtRPK1/AOX1D/ARAC8/ATDOG1/ABR1",96
"GO:0008219","GO:0008219","cell death","155/3294","496/20876",2.50237793544698e-18,8.73607941463824e-17,6.28667579571943e-17,"COR15/ABI1/ATCAL4/AFP1/AZI1/ATEBP/ADC2/RCA/ACD1/ATPLDDELTA/EARLI1/AtHIR2/cdf3/BBX14/ATCAD5/PGDH/NA/ACX1/CAT2/ABF3/BRG2/ATMAPK3/DALL3/(AT)SRC2/ATLFNR2/ATWRKY33/BETA/NA/AtPRX71/NA/ANAC019/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/JAZ12/ATBI-1/NA/EDF4/NA/ATWRKY40/BLH1/NA/AR781/ACO4/NA/NA/BGLU26/NA/BBX22/ATCPK32/ATCAD8/NA/ATCRY1/CYP71B7/AtBRN1/AtPUB23/GT72B1/ATHXK2/ATSYP122/NA/CYP71B15/ATRBOHD/NA/NA/AT-SYR1/AtFAH/ATMYB30/LURP1/NA/NA/NA/NA/ATCAD7/AtPIF4/ARR4/CAD1/AtIQM1/AtSOT1/AAP2/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/NA/ARA8/AtIPCS2/AIF1/ATCNGC4/BRG3/ABCG29/ATWRKY53/NET1D/ACA11/TGA3/DELTA-OAT/JAZ2/OBP2/AtRLP33/AtRLP19/ACD6/NA/AtPNC2/NA/LOL1/NA/ATCBL2/ATMLO12/RHF1A/ATWRKY54/ATPSK5/RIN4/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/NSL1/DMR6/BIK1/ZFP8/ATSZF2/ATERF11/CRK9/NA/RIN2/ATNPR3/AOC3/ABCG40/ATL2/SARD1/NA/NA/ABA3/ATERF#011/DGD2/ATERF13/NA/NA/PR-5/NA/CRK36/NA/AtRPK1/ATMLO4/ATEDS1/TCP5/AtVPS15/NA/ANK/NA",155
"GO:0071446","GO:0071446","cellular response to salicylic acid stimulus","122/3294","355/20876",3.02222076842056e-18,1.03215409286711e-16,7.42760893657593e-17,"COR15/ABI1/NA/AFP1/AZI1/ADC2/RCA/AtSWEET15/EARLI1/BBX14/DIR1/AHB1/ASUS1/ACX1/NA/ABF3/ATMAPK3/DALL3/FTM1/ATLFNR2/ATWRKY33/BETA/LBD41/AtPRX71/NA/ANAC019/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/ATBI-1/ATWRKY40/BLH1/AR781/ACO4/NA/NA/NA/BGLU26/NA/BBX22/NA/ATCPK32/AtBRN1/AtPUB23/ATSYP122/NA/CYP71B15/AtPDC1/ATSUS4/NA/NA/AT-SYR1/RGA/LURP1/NA/NA/AtPIF4/CAD1/AtIQM1/AtSOT1/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/SIB1/ARA8/ARCK1/AIF1/NA/ATWRKY53/TGA3/JAZ2/OBP2/AtRLP33/AtRLP19/NA/AtPNC2/GGT1/ATCBL2/RHF1A/ATWRKY54/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/NSL1/DMR6/BIK1/ZFP8/ATSZF2/ATERF11/ATGSTF14/ATNPR3/AOC3/ABCG40/ATL2/SARD1/NA/NA/ABA3/DGD2/ALD1/ATERF13/PR-5/NA/NA/CRK36/NA/NA/AtRPK1/ATEDS1/TCP5/AtVPS15/NA/ANK/NA",122
"GO:0001510","GO:0001510","RNA methylation","75/3294","172/20876",3.24630167455153e-18,1.08509360228095e-16,7.80857334483392e-17,"NA/NA/NA/NA/NA/NA/RPL24A/NA/NA/NA/NA/ATRPS13A/NA/NA/NA/ATFBR1/RPS6/NA/RACK1C/NA/NA/NA/NA/ATHD2A/NA/NA/NA/NA/RACK1B/NA/NA/NA/ATBBC1/NA/NA/NA/NA/NA/NA/NA/NOP56/ATHD2/EDA27/NA/RPL24/NA/NA/NA/NA/AP40/ATFIB2/NA/NA/NA/TIM8/NA/NA/RPL16A/ROC2/NA/NA/G-H2AX/NA/ATEBP1/NA/HD2D/NA/ATFKBP53/AtCBF5/NSN1/NFD1/NA/NA/NA/NA",75
